Partno,Judgement1,Word Pair,Judged Value,Recall,COS,LSA ,FSG,QSS.1,QCON.1,HAL.1,LogHAL.1,Subtlex.1,LogSub.1,Length.1,POS.1,Ortho.1,Phono.1,Phonemes.1,Syllables.1,Morphemes.1,AOA.1,Valence.1,Imageability.1,Familiarity.1,QCON.2,HAL.2,LogHAL.2,Subtlex.2,LogSub.2,Length.2,POS.2,Ortho.2,Phono.2,Phonemes.2,Syllables.2,Morphemes.2,AOA.2,Valence.2,Imageability.2,Familiarity.2,TSS.2,FSS.1,FSS.2,COSC.1,COSC.2
222,associative,Reason_Answer,10,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
223,associative,Reason_Answer,NA,NA,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
224,associative,Reason_Answer,NA,NA,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
225,associative,Reason_Answer,70,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
226,associative,Reason_Answer,20,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
227,associative,Reason_Answer,2,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
228,associative,Reason_Answer,30,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
229,associative,Reason_Answer,50,1,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
230,associative,Reason_Answer,4,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
231,associative,Reason_Answer,15,1,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
232,associative,Reason_Answer,90,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
233,associative,Reason_Answer,60,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
234,associative,Reason_Answer,100,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
235,associative,Reason_Answer,50,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
236,associative,Reason_Answer,30,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
237,associative,Reason_Answer,50,0,0,0.195666,0.025,27,3.44,133687,11.8,193.29,3.99,6,NN,1,5,4,2,1,7.84,6.27,3.11,6.38,3.85,109246,11.6,176.2,3.95,6,NN,0,2,4,2,1,5.43,6.1,4.09,6.52,9,5,9,1,23
